customer_id,name,last_name,address,phone_number,email_address,status,credit_limit
C775556,Cory,Gregorio,Samoa,587-424-5637,cory.gregorio@gmail.com,True,94278.65
C230430,Brian,Pomeroy,Samoa,502-753-5894,brian.pomeroy@gmail.net,False,15158.92
C745655,Lucille,Atkinson,Tuvalu,419-464-852,lucille.atkinson@gmail.com,False,18938.63
C665033,Marsha,Montes,Tuvalu,750-520-631,marsha.montes@gmail.net,True,22654.09
C898829,Naomi,Woods,Rarotonga, 56- 71-6170,naomi.woods@gmail.com,False,85819.12
C286529,William,Brauer,Rarotonga,488-176-4793,william.brauer@gmail.io,False,68684.12
C087302,Rebecca,White,Rarotonga,489-192-137,rebecca.white@gmail.com,True,44776.5
C339707,William,Rennemeyer,Rarotonga,218-546-4819,william.rennemeyer@gmail.org,True,21788.25
C488079,John,Berube,Rarotonga,328-463-1414,john.berube@gmail.org,True,59861.49
C287180,Nina,James,Tuvalu,925-336-9100,nina.james@gmail.io,False,26561.91
C533501,Jerry,Cawthon,Tuvalu,171-201-1535,jerry.cawthon@gmail.org,False,73695.92
C936800,Stephanie,Brownell,Samoa,693-719-2532,stephanie.brownell@gmail.io,True,14955.39
C061770,Susan,Bruce,Rarotonga,310-585-7017,susan.bruce@gmail.org,False,93700.29
C964608,Otis,Taylor,Tuvalu,134-224-2727,otis.taylor@gmail.net,True,32571.5
C335693,Sharon,Cooper,Samoa,737-263-330,sharon.cooper@gmail.org,True,28085.25
C715276,Jennifer,Perry,Rarotonga,495-942-3435,jennifer.perry@gmail.io,True,43353.46
C371481,Trent,Burklow,Tuvalu,810-677-4129,trent.burklow@gmail.org,True,95632.58
C006939,Mark,Acosta,Samoa,598-367-5756,mark.acosta@gmail.org,True,44734.81
C431660,Sonia,Bradshaw,Samoa,556- 39-1368,sonia.bradshaw@gmail.io,True,55007.89
C679765,Michael,Stewart,Samoa,744-989-2313,michael.stewart@gmail.net,True,52492.65
C374913,Curtis,Schmitt,Samoa,307-999-1442,curtis.schmitt@gmail.com,False,2146.99
C151124,Michele,Falgout,Samoa,439- 18-7363,michele.falgout@gmail.net,False,59893.19
C604957,Lisa,Cecil,Samoa,413-161-2426,lisa.cecil@gmail.com,True,81913.6
C518886,Ashley,Dixon,Samoa,298- 91-6246,ashley.dixon@gmail.net,False,12514.31
C288439,Victor,Mcclinton,Rarotonga,550-597-8090,victor.mcclinton@gmail.net,False,35069.67
C194250,Janice,Jennings,Samoa,731-343-6857,janice.jennings@gmail.com,True,48797.34
C269331,Debra,Wall,Samoa,514-463-2737,debra.wall@gmail.com,True,2150.49
C113651,Christopher,Shoemaker,Samoa,922-310-1438,christopher.shoemaker@gmail.io,False,15665.32
C451978,Jeanette,Morgan,Rarotonga,662-800-5744,jeanette.morgan@gmail.net,True,93735.17
C463733,Tiffany,Hilton,Rarotonga,723-844-8449,tiffany.hilton@gmail.com,False,29712.32
C763627,Selma,Armstrong,Tuvalu,625-206-3367,selma.armstrong@gmail.net,False,39708.52
C793917,Muriel,Clark,Samoa,279-391-3390,muriel.clark@gmail.io,True,47132.36
C305915,Thomas,Knickrehm,Tuvalu, 42-660-9787,thomas.knickrehm@gmail.org,False,50211.75
C176749,Johnnie,Cooper,Rarotonga,977-419-3827,johnnie.cooper@gmail.com,False,42678.31
C460438,Richard,Roman,Tuvalu,669-737-806,richard.roman@gmail.net,True,35912.76
C043626,Cassie,Sturdivant,Rarotonga,471-886-2729,cassie.sturdivant@gmail.com,False,2771.33
C004415,Howard,Brown,Tuvalu, 14-635-1044,howard.brown@gmail.org,True,90034.19
C120403,Leo,Carr,Tuvalu,730-874-1797,leo.carr@gmail.org,True,13006.54
C301595,Larry,Myers,Rarotonga,103-109-1829,larry.myers@gmail.io,False,61475.73
C551053,Joyce,Dorris,Samoa,398-583-282,joyce.dorris@gmail.net,True,54576.68
C477574,Brenda,Dolan,Samoa,717-282-2435,brenda.dolan@gmail.io,False,77400.11
C295272,Deborah,Reed,Samoa,526-140-7448,deborah.reed@gmail.com,True,9276.38
