customer_id,name,address,phone_number,email
cust0001,Sir Anthony Absolute,1234 N. Aspen Rd,206-001-1520,SirAnthonyAbsolute@email.com
cust0002,Nick Adams ,5678 S. Cedar Blvd,253-001-3902,NickAdams@email.com
cust0003,Parson Adams ,9123 E. Aspen Way,253-001-2592,ParsonAdams@email.com
cust0004,Frankie Addams ,1323 W. Douglas Rd,253-001-2872,FrankieAddams@email.com
cust0005,Anthony Adverse ,1717 N. Fir St,509-001-1823,AnthonyAdverse@email.com
cust0006,Captain Ahab ,2112 S. Mahogany St,206-001-3251,CaptainAhab@email.com
cust0007,Albertine  Smith,2506 E. Birch Blvd,425-001-3725,AlbertineSmith@email.com
cust0008,Alceste  Smith,2901 W. Birch Blvd,253-001-2940,Alceste Smith@email.com
cust0009,Algernon  Smith,3295 N. Douglas St,425-001-5772,AlgernonSmith@email.com
cust0010,Ali Baba ,3690 S. Pine Ave,509-001-5662,AliBaba@email.com
cust0011,Squire Allworthy ,4084 E. Hickory Way,360-001-1993,SquireAllworthy@email.com
cust0012,Count Almaviva ,4479 W. Elm Blvd,206-001-3840,CountAlmaviva@email.com
cust0013,The Alvings ,4873 N. Ash Way,425-001-4984,TheAlvings@email.com
cust0014,Amaryllis  Smith,5267 S. Ash Rd,360-001-1228,AmaryllisSmith@email.com
cust0015,Ananse  Smith,5662 E. Mahogany Way,253-001-1614,AnanseSmith@email.com
cust0016,Pamela Andrews ,6056 W. Spruce St,509-001-3803,PamelaAndrews@email.com
cust0017,Angelica  Smith,6451 N. Maple Ave,509-001-5536,AngelicaSmith@email.com
cust0018,Harry Angstrom ,6845 S. Hickory Ave,253-001-2620,HarryAngstrom@email.com
cust0019,Mr. and Mrs. Antrobus ,7240 E. Maple Way,253-001-2529,MrandMrsAntrobus@email.com
cust0020,Aramis  Smith,7634 W. Oak Blvd,360-001-2687,AramisSmith@email.com
cust0021,Isabel Archer ,8029 N. Cedar St,206-001-2450,IsabelArcher@email.com
cust0022,Enoch Arden ,8423 S. Cedar Ave,360-001-8817,EnochArden@email.com
cust0023,The Artful Dodger ,8817 E. Douglas Ave,206-001-3058,TheArtfulDodger@email.com
cust0024,Gustave von Aschenbach ,9212 W. Douglas St,360-001-5851,GustavevonAschenbach@email.com
cust0025,Lady Brett Ashley ,9606 N. Birch Ave,425-001-1176,LadyBrettAshley@email.com
cust0026,Athos  Smith,1000 S. Douglas Way,509-001-1409,AthosSmith@email.com
cust0027,Ayesha  Smith,1039 E. Hickory Blvd,253-001-2020,AyeshaSmith@email.com
cust0028,Dr. Aziz ,1079 W. Pine Rd,509-001-4479,DrAziz@email.com
cust0029,Baba-Yaga  Smith,1118 N. Pine Blvd,425-001-1326,BabaYagaSmith@email.com
cust0030,Babar  Smith,1157 S. Oak Ave,360-001-1906,BabarSmith@email.com
cust0031,Bilbo Baggins ,1197 E. Douglas Blvd,253-001-3551,BilboBaggins@email.com
cust0032,Frodo Baggins ,1236 W. Douglas Rd,509-001-2407,FrodoBaggins@email.com
cust0033,Harry Bailly ,1276 N. Pine Blvd,425-001-1433,HarryBailly@email.com
cust0034,David Balfour ,1315 S. Cedar Ave,206-001-1851,DavidBalfour@email.com
cust0035,Mr. Barkis ,1355 E. Maple St,360-001-2320,MrBarkis@email.com
cust0036,Jake Barnes ,1394 W. Ash Rd,206-001-1993,JakeBarnes@email.com
cust0037,Lily Bart ,1434 N. Aspen Ave,425-001-4984,LilyBart@email.com
cust0038,Yevgeny Bazarov ,1473 S. Elm St,253-001-6451,YevgenyBazarov@email.com
cust0039,Adam Bede ,1512 E. Mahogany Blvd,206-001-4510,AdamBede@email.com
cust0040,Belial  Smith,1552 W. Ash Blvd,360-001-1697,BelialSmith@email.com
cust0041,Bennet family ,1591 N. Mahogany St,360-001-2794,Bennetfamily@email.com
cust0042,Bertram family ,1631 S. Hickory Rd,360-001-2545,Bertramfamily@email.com
cust0043,Pierre Bezukhov ,1670 E. Birch St,509-001-7666,PierreBezukhov@email.com
cust0044,Big Brother ,1710 W. Mahogany Blvd,509-001-3879,BigBrother@email.com
cust0045,Big Daddy ,1749 N. Maple Ave,253-001-3508,BigDaddy@email.com
cust0046,Rupert Birkin ,1789 S. Pine Way,425-001-3129,RupertBirkin@email.com
cust0047,Anthony Blanche ,1828 E. Hickory St,253-001-4629,AnthonyBlanche@email.com
cust0048,Leopold Bloom ,1867 W. Oak Ave,360-001-1192,LeopoldBloom@email.com
cust0049,Molly Bloom ,1907 N. Pine Rd,509-001-2861,MollyBloom@email.com
cust0050,Bluebeard  Smith,1946 S. Aspen Ave,509-001-1650,BluebeardSmith@email.com
cust0051,Bobbsey Twins ,1986 E. Spruce Blvd,509-001-2865,BobbseyTwins@email.com
cust0052,William Boldwood ,2025 W. Mahogany Rd,253-001-3480,WilliamBoldwood@email.com
