user_id,name,address,phone,email
user0001,Ora Kaldahl,3871 Atlantic Ave SE,2063591443,OraKaldahl@aol.com
user0002,Dreddy Welti,7438 Wilford Pl SW,2067235295,DreddyWelti@yahoo.com
user0003,Abbie Shouldice,5450 Alva Way E,5037138929,AbbieShouldice@gmail.com
user0004,Harrie Suryanarayana,6614 Birch Way ,2064798049,HarrieSuryanarayana@yahoo.com
user0005,Mary Mowrer,7202 High Ave W,5414644789,MaryMowrer@gmail.com
user0006,Elva Uber,8469 Union Way W,2535264234,ElvaUber@gmail.com
user0007,Averyl Angove,8387 Mansion Blvd ,4250133404,AverylAngove@yahoo.com
user0008,Mechelle Drakes,6115 Smith Blvd NW,2066644058,MechelleDrakes@aol.com
user0009,Lexi Migliore,3159 Blakely St NE,5642034804,LexiMigliore@hotmail.com
user0010,Laureen Kiewiet,1582 Swim Way ,5642900421,LaureenKiewiet@icloud.com
user0011,Ashlie Dobratz,4871 Erie Blvd NW,5034991822,AshlieDobratz@gmail.com
user0012,Katalin Skolnick,7961 Alabama Way SW,5647204927,KatalinSkolnick@aol.com
user0013,Shaylyn Maontesano,4956 Penn Ave N,3605237025,ShaylynMaontesano@yahoo.com
user0014,Devonna Tennessee,4913 Alaska Ave N,5033213911,DevonnaTennessee@yahoo.com
user0015,Chad Stellings,6416 Dearborn Dr N,5034119472,ChadStellings@gmail.com
user0016,Beverlee Morgenroth,6239 Franklin Ave S,2539368912,BeverleeMorgenroth@hotmail.com
user0017,Felicle Armor,4554 Grange Dr ,5412197564,FelicleArmor@outlook.com
user0018,Lorelle Klosowski,6380 Jones Way W,5645558263,LorelleKlosowski@outlook.com
user0019,Krissie Sonkens,7183 Jacobs St NW,5643335417,KrissieSonkens@icloud.com
user0020,Catrina Borello,3612 Alpine Blvd ,2531145759,CatrinaBorello@yahoo.com
user0021,Ailina Seegobin,8145 Sixth Way NW,3602411201,AilinaSeegobin@outlook.com
user0022,Orella Robair,2538 Menlo St S,2535361027,OrellaRobair@hotmail.com
user0023,Phillie Biringer,5180 Blaine Blvd SE,2068691810,PhillieBiringer@outlook.com
