user_id,name,address,phone,email
user0001,Adelind Rushin,8093 Norman Blvd W,2530160519,AdelindRushin@hotmail.com
user0002,Floris Vitrano,7795 Lakeview Way SE,4254803866,FlorisVitrano@gmail.com
user0003,Gennie Hamaker,8702 Blaine Pl NE,3605543281,GennieHamaker@icloud.com
user0004,Lizabeth Inciong,7904 Olympic St NE,2531610729,LizabethInciong@outlook.com
user0005,Aggy Gjertsen,5454 Emmons Or Milk Ave NE,2068521085,AggyGjertsen@gmail.com
user0006,Lauren Sidbury,8479 Mulford Way NE,5646726465,LaurenSidbury@aol.com
user0007,Estelle Garofolo,4513 Ivanhoe Pl ,5096880080,EstelleGarofolo@aol.com
user0008,Lib Davidian,8112 Lena Way ,3601242496,LibDavidian@yahoo.com
user0009,Gretna Okuda,6895 Pleasant Dr E,5036199796,GretnaOkuda@hotmail.com
user0010,Claudine Huntley,7409 Bayview Way NW,2530586963,ClaudineHuntley@outlook.com
user0011,Kaitlyn Paskiewicz,3335 Thirty-Ninth Ave W,2533858534,KaitlynPaskiewicz@hotmail.com
user0012,Jazmin Su,3414 Sterret Pl NW,5099371181,JazminSu@aol.com
user0013,Lulita Balbi,7772 Mcclair Pl NW,2532317786,LulitaBalbi@gmail.com
user0014,Hana Lushbaugh,3459 Carrie Dr S,5034625616,HanaLushbaugh@outlook.com
user0015,Kissee Kazi,5507 Mine Way E,2533716385,KisseeKazi@gmail.com
user0016,Kimbra Dorland,7232 Mccord Blvd SW,2061846081,KimbraDorland@hotmail.com
user0017,Idalina Dokuchitz,4366 Oakley St SE,3604335326,IdalinaDokuchitz@outlook.com
user0018,Eveleen Mines,8380 Laura Way ,2062892171,EveleenMines@hotmail.com
user0019,Lind Cozzens,8071 Banner Pl NE,4251319663,LindCozzens@outlook.com
user0020,Zelma Riola,4056 Violet Way NE,2536641075,ZelmaRiola@hotmail.com
user0021,Aretha Vocu,3268 Bloomfield Blvd SE,5415743885,ArethaVocu@icloud.com
user0022,Birgit Nixson,5357 Pennsylvania Ave ,2533835591,BirgitNixson@yahoo.com
user0023,Evaleen Kunkel,1721 Twenty-Ninth St E,5648381692,EvaleenKunkel@icloud.com
user0024,Margo Schluneger,3242 Swim Blvd N,4255637637,MargoSchluneger@yahoo.com
user0025,Caron Cozzolino,7571 Sherbrook Way NW,5415482434,CaronCozzolino@yahoo.com
