user_id,name,address,phone,email
user0001,Adelheid Card,1287 Manitoba Pl ,5648742865,AdelheidCard@yahoo.com
user0002,Jemimah Bazzi,3061 Diana Way N,2535882441,JemimahBazzi@icloud.com
user0003,Micheline Sidur,2120 Merrill Dr NE,5099640251,MichelineSidur@icloud.com
user0004,Chryste Fetterly,6426 Gansvoort Ave ,3606582395,ChrysteFetterly@outlook.com
user0005,Ermentrude Schifo,7444 Mountain Dr ,5030928564,ErmentrudeSchifo@icloud.com
user0006,Marney Mcmurtry,5903 Lander Ave SW,5037514171,MarneyMcmurtry@aol.com
user0007,Valencia Sukhram,1312 Green St W,4251208586,ValenciaSukhram@gmail.com
user0008,Caressa Waddy,4637 Decatur Ave NE,5645725782,CaressaWaddy@outlook.com
user0009,Darcee Mcculloh,3490 Phelps Dr N,2066891573,DarceeMcculloh@gmail.com
user0010,Evangelin Robbin,5964 Melrose Ave NW,2063471037,EvangelinRobbin@yahoo.com
user0011,Janie Goossen,8077 Wadsworth St N,4251035401,JanieGoossen@icloud.com
user0012,Alanna Ceretti,1390 Milwaukie Ave N,3605785267,AlannaCeretti@icloud.com
user0013,Melanie Hartert,2443 Thirty-Fourth St E,5092433665,MelanieHartert@icloud.com
user0014,Clarinda Delongis,5145 Government Blvd SE,5095418326,ClarindaDelongis@icloud.com
user0015,Ulrike Bockelmann,5903 Russell St E,4250789078,UlrikeBockelmann@icloud.com
user0016,Erna Brackman,3827 South Dr NE,5099872251,ErnaBrackman@icloud.com
user0017,Odella Bordner,3960 Oriental Ave N,5416895137,OdellaBordner@aol.com
user0018,Evvie Berge,7520 Bradner Blvd NE,5030360478,EvvieBerge@yahoo.com
user0019,Antonina Hanville,1591 Eaton Way S,4254311827,AntoninaHanville@outlook.com
user0020,Prisca Dates,6494 Lander St SE,4250291087,PriscaDates@gmail.com
user0021,Nancey Franklin,1630 Mulford Pl ,5032882994,NanceyFranklin@gmail.com
user0022,Diane-Marie Mase,1187 Twenty-Second Dr ,4257863615,Diane-MarieMase@aol.com
