customer_id,first_name,last_name,home_address,phone_number,email_address,active_customer,credit_limit
cust_1,Rhianna,Flygirl,The Stage,3241232455,star@skycloud.com,TRUE,1000
cust_2,John,Muir,Yosemite,3241232455,muir@skycloud.com,FALSE,850
cust_3,Beyonce,Knowles-Carter,Top of the World,3241232455,bey@skycloud.com,TRUE,900
cust_4,first_name_4,last_name_4,address_4,1111111111,4@url.com,TRUE,974527
cust_5,first_name_5,last_name_5,address_5,1111111112,5@url.com,TRUE,328259
cust_6,first_name_6,last_name_6,address_6,1111111113,6@url.com,FALSE,40399
cust_7,first_name_7,last_name_7,address_7,1111111114,7@url.com,FALSE,12298
cust_8,first_name_8,last_name_8,address_8,1111111115,8@url.com,TRUE,930431
cust_9,first_name_9,last_name_9,address_9,1111111116,9@url.com,TRUE,606796
cust_10,first_name_10,last_name_10,address_10,1111111117,10@url.com,TRUE,585440
cust_11,first_name_11,last_name_11,address_11,1111111118,11@url.com,TRUE,330149
cust_12,first_name_12,last_name_12,address_12,1111111119,12@url.com,TRUE,718329
cust_13,first_name_13,last_name_13,address_13,1111111120,13@url.com,TRUE,950692
cust_14,first_name_14,last_name_14,address_14,1111111121,14@url.com,FALSE,803468
cust_15,first_name_15,last_name_15,address_15,1111111122,15@url.com,TRUE,783882
cust_16,first_name_16,last_name_16,address_16,1111111123,16@url.com,TRUE,79348
cust_17,first_name_17,last_name_17,address_17,1111111124,17@url.com,TRUE,370926
cust_18,first_name_18,last_name_18,address_18,1111111125,18@url.com,TRUE,452013
cust_19,first_name_19,last_name_19,address_19,1111111126,19@url.com,TRUE,846319
cust_20,first_name_20,last_name_20,address_20,1111111127,20@url.com,TRUE,387591
cust_21,first_name_21,last_name_21,address_21,1111111128,21@url.com,TRUE,558732
cust_22,first_name_22,last_name_22,address_22,1111111129,22@url.com,TRUE,544715
cust_23,first_name_23,last_name_23,address_23,1111111130,23@url.com,TRUE,123143
cust_24,first_name_24,last_name_24,address_24,1111111131,24@url.com,TRUE,571314
cust_25,first_name_25,last_name_25,address_25,1111111132,25@url.com,TRUE,120277
cust_26,first_name_26,last_name_26,address_26,1111111133,26@url.com,TRUE,138789
cust_27,first_name_27,last_name_27,address_27,1111111134,27@url.com,TRUE,267393
cust_28,first_name_28,last_name_28,address_28,1111111135,28@url.com,TRUE,378546
cust_29,first_name_29,last_name_29,address_29,1111111136,29@url.com,TRUE,677278
cust_30,first_name_30,last_name_30,address_30,1111111137,30@url.com,TRUE,2761
cust_31,first_name_31,last_name_31,address_31,1111111138,31@url.com,TRUE,946735
cust_32,first_name_32,last_name_32,address_32,1111111139,32@url.com,TRUE,667573
cust_33,first_name_33,last_name_33,address_33,1111111140,33@url.com,FALSE,791023
cust_34,first_name_34,last_name_34,address_34,1111111141,34@url.com,TRUE,645008
cust_35,first_name_35,last_name_35,address_35,1111111142,35@url.com,TRUE,982284
cust_36,first_name_36,last_name_36,address_36,1111111143,36@url.com,TRUE,857591
cust_37,first_name_37,last_name_37,address_37,1111111144,37@url.com,TRUE,326340
cust_38,first_name_38,last_name_38,address_38,1111111145,38@url.com,TRUE,932161
cust_39,first_name_39,last_name_39,address_39,1111111146,39@url.com,TRUE,254088
cust_40,first_name_40,last_name_40,address_40,1111111147,40@url.com,TRUE,766378
cust_41,first_name_41,last_name_41,address_41,1111111148,41@url.com,TRUE,71430
cust_42,first_name_42,last_name_42,address_42,1111111149,42@url.com,FALSE,741596
cust_43,first_name_43,last_name_43,address_43,1111111150,43@url.com,TRUE,120091
cust_44,first_name_44,last_name_44,address_44,1111111151,44@url.com,TRUE,25369
cust_45,first_name_45,last_name_45,address_45,1111111152,45@url.com,TRUE,710739
cust_46,first_name_46,last_name_46,address_46,1111111153,46@url.com,TRUE,122502
cust_47,first_name_47,last_name_47,address_47,1111111154,47@url.com,TRUE,13587
cust_48,first_name_48,last_name_48,address_48,1111111155,48@url.com,TRUE,543510
cust_49,first_name_49,last_name_49,address_49,1111111156,49@url.com,TRUE,529446
cust_50,first_name_50,last_name_50,address_50,1111111157,50@url.com,TRUE,457371
cust_51,first_name_51,last_name_51,address_51,1111111158,51@url.com,TRUE,21406
