customer_id,name,address,phone_number,email,credit_limit
user1,Frankie Gomez,8529 371 Rd,765-818-3682,0arhndkwki@u.edu,4400
user2,Beth Lopez,4694 50 St,184-375-2974,enk8yo28rm@u.edu,3800
user3,Frankie Lopez,4271 167 Rd,256-367-3417,n6tpdj9b0s@u.edu,7000
user4,Earl Diaz,8825 130 Ave,446-789-7855,ctc5ekb1ch@u.edu,6000
user5,Manny Ramirez,9593 221 St,592-163-5020,eyp7dnaskh@u.edu,2200
user6,Ricki Torres,4848 62 Dr,497-166-2653,d88i47sn0h@u.edu,3300
user7,Yannick Ramirez,1817 354 Ave,293-417-7335,ulv1q3mv6x@u.edu,5200
user8,Letty Ramirez,6385 148 Pl,270-765-9709,yxt1vwf1u3@u.edu,3900
user9,Zoe Hernandez,6364 272 Dr,713-992-8060,pdfb8arufz@u.edu,6800
user10,Trixie Gonzalez,5765 101 Rd,277-636-2258,wwl05min5q@u.edu,9500
user11,Starburns Hernandez,7964 129 St,210-447-3078,bo3yqygzer@u.edu,9600
user12,Yannick Gomez,4361 154 Ave,737-968-6888,x31upchft9@u.edu,3400
user13,Nikki Morales,8429 33 St,389-586-3824,9fcnyml196@u.edu,7300
user14,Earl Torres,3846 273 Pl,661-576-9788,jgd4qex7ym@u.edu,9500
user15,Jane Perez,177 31 Pl,649-179-4225,3lmzmgdw0z@u.edu,8500
user16,Nikki Rodriguez,3901 26 Dr,660-694-9786,egvvjdbty5@u.edu,3100
user17,Ricki Gomez,3039 6 Pl,617-670-2791,5dfmxrieyq@u.edu,2000
user18,Uncle Rodriguez,5592 203 Ave,295-327-3941,uzsigrdczy@u.edu,9500
user19,Charlie Flores,3964 371 Pl,203-394-7084,cpqvbm6ehg@u.edu,9200
user20,Hannah Gutierrez,5999 353 St,914-255-8309,4t13i5cd5b@u.edu,5600
user21,Trixie Sanchez,503 24 St,111-641-7732,hc6knqbljl@u.edu,2400
user22,Earl Sanchez,3815 156 Rd,835-937-9938,ggg2llevsd@u.edu,4300
user23,Orwell Torres,356 275 Pl,216-917-1281,jg8gl7w8jy@u.edu,7600
user24,Xena Martinez,210 182 St,597-781-7008,o4hxqi35ut@u.edu,8000
user25,Manny Gonzalez,9413 246 St,380-558-8100,5voqjrj95m@u.edu,2500
user26,Uncle Sanchez,8400 128 St,893-175-4864,sfcp9xpid7@u.edu,9400
user27,Walker Lopez,1836 149 Dr,856-434-3480,n09zy289vp@u.edu,9700
user28,Walker Martinez,7870 261 Pl,917-959-7751,fpnn2cwl42@u.edu,4100
user29,Yannick Perez,6383 349 Rd,246-486-7797,2h7j105kti@u.edu,8500
user30,Letty Lopez,238 121 Ave,384-154-1262,milix2yk4c@u.edu,6200
user31,Beth Sanchez,1497 55 Ave,364-768-9002,fj2b4efw67@u.edu,9400
user32,Beth Martinez,1782 143 Dr,542-377-3810,q055769rjn@u.edu,700
user33,Earl Cruz,4730 310 Dr,875-869-1153,i4a49f3w9w@u.edu,9200
user34,Frankie Lopez,7421 120 St,822-744-1767,m8sge74vrr@u.edu,5600
user35,Daphne Martinez,4203 309 Rd,747-808-9480,twzdk2ekku@u.edu,3500
user36,Daphne Sanchez,3568 175 Pl,672-305-8159,d8smliu711@u.edu,7400
user37,Ricki Martinez,7432 274 Pl,823-646-3064,n37tsrtlub@u.edu,8000
user38,Daphne Torres,7857 183 Dr,475-814-8295,p7dgiwqjp4@u.edu,300
user39,Trixie Morales,1963 25 Pl,267-162-5712,9nivhf75yy@u.edu,6200
user40,Quincy Gomez,7012 194 Ave,579-376-6268,rtx6fuip26@u.edu,5500
user41,Alan Ramirez,5002 134 Rd,801-769-4582,fsx23emqje@u.edu,1800
user42,Uncle Reyes,9450 67 Rd,294-682-4889,4320nn3n3r@u.edu,8200
user43,Xena Ramirez,4945 319 Pl,940-843-5620,ghrq1689a7@u.edu,4400
user44,Jane Flores,7419 392 St,265-881-2473,qfeyj57jz9@u.edu,900
user45,Letty Diaz,6983 263 Pl,202-828-6072,moxin2pgqo@u.edu,1400
user46,Greg Lopez,1747 141 Dr,810-817-8461,uprryr7iwl@u.edu,3900
user47,Uncle Rodriguez,5437 242 Ave,131-318-4681,fpik0z1um7@u.edu,8400
user48,Idris Reyes,537 38 Rd,611-107-6864,sp75xebm64@u.edu,100
user49,Letty Ramirez,6597 261 St,508-823-7286,n0t7h0haz9@u.edu,1200
user50,Charlie Gonzalez,2918 45 Dr,213-180-5123,heorgw3ocv@u.edu,4700
user51,Letty Lopez,9609 166 Dr,119-927-5164,nuzjcl1wrs@u.edu,9300
user52,Trixie Cruz,3316 209 Dr,784-870-3880,kfca1n1bx2@u.edu,8600
user53,Letty Hernandez,7022 1 Ave,501-407-9063,c7z7cqmtm2@u.edu,900
user54,Earl Garcia,580 243 Pl,577-605-1015,xuji52xsn6@u.edu,9800
user55,Persephone Sanchez,2506 168 Rd,401-866-6208,wcrwhzpzab@u.edu,4200
user56,Xena Torres,2129 304 Dr,723-626-3923,62ixw5u8h3@u.edu,2200
user57,Daphne Gonzalez,1134 149 St,188-791-3538,f20s74p5sr@u.edu,9300
user58,Beth Gomez,2321 396 Ave,365-688-6644,dqz838jdce@u.edu,7800
user59,Walker Vasquez,3472 354 Ave,103-796-1551,jycheupabh@u.edu,9400
user60,Alan Garcia,9111 239 Rd,808-288-2841,p6vrwjc4hj@u.edu,1800
user61,Manny Sanchez,9469 148 St,734-479-2216,txy7aubacf@u.edu,9500
user62,Walker Sanchez,7478 267 Dr,524-158-3849,bkuj4iqpsb@u.edu,2700
user63,Zoe Diaz,2863 370 Ave,286-441-2845,c86q1w1qhp@u.edu,9900
