customer_id1,name1,address1,phone_number1,email1
customer_id2,name2,address2,phone_number2,email2
customer_id3,name3,address3,phone_number3,email3
customer_id4,name4,address4,phone_number4,email4
customer_id5,name5,address5,phone_number5,email5
customer_id6,name6,address6,phone_number6,email6
customer_id7,name7,address7,phone_number7,email7
customer_id8,name8,address8,phone_number8,email8
customer_id9,name9,address9,phone_number9,email9
customer_id10,name10,address10,phone_number10,email10
customer_id11,name11,address11,phone_number11,email11
customer_id12,name12,address12,phone_number12,email12
customer_id13,name13,address13,phone_number13,email13
customer_id14,name14,address14,phone_number14,email14
customer_id15,name15,address15,phone_number15,email15
customer_id16,name16,address16,phone_number16,email16
customer_id17,name17,address17,phone_number17,email17
customer_id18,name18,address18,phone_number18,email18
customer_id19,name19,address19,phone_number19,email19
customer_id20,name20,address20,phone_number20,email20
customer_id21,name21,address21,phone_number21,email21
customer_id22,name22,address22,phone_number22,email22
customer_id23,name23,address23,phone_number23,email23
customer_id24,name24,address24,phone_number24,email24
customer_id25,name25,address25,phone_number25,email25
customer_id26,name26,address26,phone_number26,email26
customer_id27,name27,address27,phone_number27,email27
customer_id28,name28,address28,phone_number28,email28
customer_id29,name29,address29,phone_number29,email29
customer_id30,name30,address30,phone_number30,email30
customer_id31,name31,address31,phone_number31,email31
customer_id32,name32,address32,phone_number32,email32
customer_id33,name33,address33,phone_number33,email33
customer_id34,name34,address34,phone_number34,email34
customer_id35,name35,address35,phone_number35,email35
customer_id36,name36,address36,phone_number36,email36
customer_id37,name37,address37,phone_number37,email37
customer_id38,name38,address38,phone_number38,email38
customer_id39,name39,address39,phone_number39,email39
customer_id40,name40,address40,phone_number40,email40
customer_id41,name41,address41,phone_number41,email41
customer_id42,name42,address42,phone_number42,email42
customer_id43,name43,address43,phone_number43,email43
customer_id44,name44,address44,phone_number44,email44
customer_id45,name45,address45,phone_number45,email45
customer_id46,name46,address46,phone_number46,email46
customer_id47,name47,address47,phone_number47,email47
customer_id48,name48,address48,phone_number48,email48
customer_id49,name49,address49,phone_number49,email49
customer_id50,name50,address50,phone_number50,email50
customer_id51,name51,address51,phone_number51,email51
customer_id52,name52,address52,phone_number52,email52
customer_id53,name53,address53,phone_number53,email53
customer_id54,name54,address54,phone_number54,email54
customer_id55,name55,address55,phone_number55,email55
customer_id56,name56,address56,phone_number56,email56
customer_id57,name57,address57,phone_number57,email57
customer_id58,name58,address58,phone_number58,email58
customer_id59,name59,address59,phone_number59,email59
customer_id60,name60,address60,phone_number60,email60
customer_id61,name61,address61,phone_number61,email61
customer_id62,name62,address62,phone_number62,email62
customer_id63,name63,address63,phone_number63,email63
customer_id64,name64,address64,phone_number64,email64
customer_id65,name65,address65,phone_number65,email65
customer_id66,name66,address66,phone_number66,email66
customer_id67,name67,address67,phone_number67,email67
customer_id68,name68,address68,phone_number68,email68
customer_id69,name69,address69,phone_number69,email69
customer_id70,name70,address70,phone_number70,email70
customer_id71,name71,address71,phone_number71,email71
customer_id72,name72,address72,phone_number72,email72
customer_id73,name73,address73,phone_number73,email73
customer_id74,name74,address74,phone_number74,email74
customer_id75,name75,address75,phone_number75,email75
customer_id76,name76,address76,phone_number76,email76
customer_id77,name77,address77,phone_number77,email77
customer_id78,name78,address78,phone_number78,email78
customer_id79,name79,address79,phone_number79,email79
customer_id80,name80,address80,phone_number80,email80
customer_id81,name81,address81,phone_number81,email81
customer_id82,name82,address82,phone_number82,email82
customer_id83,name83,address83,phone_number83,email83
customer_id84,name84,address84,phone_number84,email84
customer_id85,name85,address85,phone_number85,email85
customer_id86,name86,address86,phone_number86,email86
customer_id87,name87,address87,phone_number87,email87
customer_id88,name88,address88,phone_number88,email88
customer_id89,name89,address89,phone_number89,email89
customer_id90,name90,address90,phone_number90,email90
customer_id91,name91,address91,phone_number91,email91
customer_id92,name92,address92,phone_number92,email92
customer_id93,name93,address93,phone_number93,email93
customer_id94,name94,address94,phone_number94,email94
customer_id95,name95,address95,phone_number95,email95
customer_id96,name96,address96,phone_number96,email96
customer_id97,name97,address97,phone_number97,email97
customer_id98,name98,address98,phone_number98,email98
customer_id99,name99,address99,phone_number99,email99
customer_id100,name100,address100,phone_number100,email100
customer_id101,name101,address101,phone_number101,email101
customer_id102,name102,address102,phone_number102,email102
customer_id103,name103,address103,phone_number103,email103
customer_id104,name104,address104,phone_number104,email104
customer_id105,name105,address105,phone_number105,email105
customer_id106,name106,address106,phone_number106,email106
customer_id107,name107,address107,phone_number107,email107
customer_id108,name108,address108,phone_number108,email108
customer_id109,name109,address109,phone_number109,email109
customer_id110,name110,address110,phone_number110,email110
customer_id111,name111,address111,phone_number111,email111
customer_id112,name112,address112,phone_number112,email112
customer_id113,name113,address113,phone_number113,email113
customer_id114,name114,address114,phone_number114,email114
customer_id115,name115,address115,phone_number115,email115
customer_id116,name116,address116,phone_number116,email116
customer_id117,name117,address117,phone_number117,email117
customer_id118,name118,address118,phone_number118,email118
customer_id119,name119,address119,phone_number119,email119
customer_id120,name120,address120,phone_number120,email120
customer_id121,name121,address121,phone_number121,email121
customer_id122,name122,address122,phone_number122,email122
customer_id123,name123,address123,phone_number123,email123
customer_id124,name124,address124,phone_number124,email124
customer_id125,name125,address125,phone_number125,email125
customer_id126,name126,address126,phone_number126,email126
customer_id127,name127,address127,phone_number127,email127
customer_id128,name128,address128,phone_number128,email128
customer_id129,name129,address129,phone_number129,email129
customer_id130,name130,address130,phone_number130,email130
customer_id131,name131,address131,phone_number131,email131
customer_id132,name132,address132,phone_number132,email132
customer_id133,name133,address133,phone_number133,email133
customer_id134,name134,address134,phone_number134,email134
customer_id135,name135,address135,phone_number135,email135
customer_id136,name136,address136,phone_number136,email136
customer_id137,name137,address137,phone_number137,email137
