customer_id1,name1,address1,phone1,email1
customer_id2,name2,address2,phone2,email2
customer_id3,name3,address3,phone3,email3
customer_id4,name4,address4,phone4,email4
customer_id5,name5,address5,phone5,email5
customer_id6,name6,address6,phone6,email6
customer_id7,name7,address7,phone7,email7
customer_id8,name8,address8,phone8,email8
customer_id9,name9,address9,phone9,email9
customer_id10,name10,address10,phone10,email10
customer_id11,name11,address11,phone11,email11
customer_id12,name12,address12,phone12,email12
customer_id13,name13,address13,phone13,email13
customer_id14,name14,address14,phone14,email14
customer_id15,name15,address15,phone15,email15
customer_id16,name16,address16,phone16,email16
customer_id17,name17,address17,phone17,email17
customer_id18,name18,address18,phone18,email18
customer_id19,name19,address19,phone19,email19
customer_id20,name20,address20,phone20,email20
customer_id21,name21,address21,phone21,email21
customer_id22,name22,address22,phone22,email22
customer_id23,name23,address23,phone23,email23
customer_id24,name24,address24,phone24,email24
customer_id25,name25,address25,phone25,email25
customer_id26,name26,address26,phone26,email26
customer_id27,name27,address27,phone27,email27
customer_id28,name28,address28,phone28,email28
customer_id29,name29,address29,phone29,email29
customer_id30,name30,address30,phone30,email30
customer_id31,name31,address31,phone31,email31
customer_id32,name32,address32,phone32,email32
customer_id33,name33,address33,phone33,email33
customer_id34,name34,address34,phone34,email34
customer_id35,name35,address35,phone35,email35
customer_id36,name36,address36,phone36,email36
customer_id37,name37,address37,phone37,email37
customer_id38,name38,address38,phone38,email38
customer_id39,name39,address39,phone39,email39
customer_id40,name40,address40,phone40,email40
customer_id41,name41,address41,phone41,email41
customer_id42,name42,address42,phone42,email42
customer_id43,name43,address43,phone43,email43
customer_id44,name44,address44,phone44,email44
customer_id45,name45,address45,phone45,email45
customer_id46,name46,address46,phone46,email46
customer_id47,name47,address47,phone47,email47
customer_id48,name48,address48,phone48,email48
customer_id49,name49,address49,phone49,email49
customer_id50,name50,address50,phone50,email50
customer_id51,name51,address51,phone51,email51
customer_id52,name52,address52,phone52,email52
customer_id53,name53,address53,phone53,email53
customer_id54,name54,address54,phone54,email54
customer_id55,name55,address55,phone55,email55
customer_id56,name56,address56,phone56,email56
customer_id57,name57,address57,phone57,email57
customer_id58,name58,address58,phone58,email58
customer_id59,name59,address59,phone59,email59
customer_id60,name60,address60,phone60,email60
customer_id61,name61,address61,phone61,email61
customer_id62,name62,address62,phone62,email62
customer_id63,name63,address63,phone63,email63
