Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
Dan Wong,prd001,seat,10.0
susan wong,['LR04', 'Leather Sofa', '25.00']
susan wong,['KT78', 'Kitchen Table', '10.00']
susan wong,['BR02', 'Queen Mattress', '17.00']
susan wong,['LR04', 'Leather Sofa', '25.00']
susan wong,['KT78', 'Kitchen Table', '10.00']
susan wong,['BR02', 'Queen Mattress', '17.00']
