user_id,name,address,phone_number,email
user001,Albert Einstein,"7 Vine Drive, Cleveland, TN 37312",559-555-0107,albert.einstein@gmail.com
user002,Blaise Pascal,"9834 Vernon Ave., Smyrna, GA 30080",404-555-0124,blaise.pascal@gmail.com
user003,Chien-Shiung Wu,"263 Orange Lane, Deerfield, IL 60015",630-555-0129,chien-shiung.wu@gmail.com
user004,Enrico Fermi,"468 Wilson St., Solon, OH 44139",567-555-0199,enrico.fermi@gmail.com
user005,Jane Goodall,"52 S. Summer St., Littleton, CO 80123",970-555-0171,jane.goodall@gmail.com
user006,Albert Einstein,"8 Vine Drive, Cleveland, TN 37312",559-555-0108,albert.einstein@gmail.com
user007,Blaise Pascal,"9835 Vernon Ave., Smyrna, GA 30080",404-555-0125,blaise.pascal@gmail.com
user008,Chien-Shiung Wu,"264 Orange Lane, Deerfield, IL 60015",630-555-0130,chien-shiung.wu@gmail.com
user009,Enrico Fermi,"469 Wilson St., Solon, OH 44139",567-555-0200,enrico.fermi@gmail.com
user010,Jane Goodall,"53 S. Summer St., Littleton, CO 80123",970-555-0172,jane.goodall@gmail.com
user011,Albert Einstein,"9 Vine Drive, Cleveland, TN 37312",559-555-0109,albert.einstein@gmail.com
user012,Blaise Pascal,"9836 Vernon Ave., Smyrna, GA 30080",404-555-0126,blaise.pascal@gmail.com
user013,Chien-Shiung Wu,"265 Orange Lane, Deerfield, IL 60015",630-555-0131,chien-shiung.wu@gmail.com
user014,Enrico Fermi,"470 Wilson St., Solon, OH 44139",567-555-0201,enrico.fermi@gmail.com
user015,Jane Goodall,"54 S. Summer St., Littleton, CO 80123",970-555-0173,jane.goodall@gmail.com
user016,Albert Einstein,"10 Vine Drive, Cleveland, TN 37312",559-555-0110,albert.einstein@gmail.com
user017,Blaise Pascal,"9837 Vernon Ave., Smyrna, GA 30080",404-555-0127,blaise.pascal@gmail.com
user018,Chien-Shiung Wu,"266 Orange Lane, Deerfield, IL 60015",630-555-0132,chien-shiung.wu@gmail.com
user019,Enrico Fermi,"471 Wilson St., Solon, OH 44139",567-555-0202,enrico.fermi@gmail.com
user020,Jane Goodall,"55 S. Summer St., Littleton, CO 80123",970-555-0174,jane.goodall@gmail.com
user021,Albert Einstein,"11 Vine Drive, Cleveland, TN 37312",559-555-0111,albert.einstein@gmail.com
user022,Blaise Pascal,"9838 Vernon Ave., Smyrna, GA 30080",404-555-0128,blaise.pascal@gmail.com
user023,Chien-Shiung Wu,"267 Orange Lane, Deerfield, IL 60015",630-555-0133,chien-shiung.wu@gmail.com
user024,Enrico Fermi,"472 Wilson St., Solon, OH 44139",567-555-0203,enrico.fermi@gmail.com
user025,Jane Goodall,"56 S. Summer St., Littleton, CO 80123",970-555-0175,jane.goodall@gmail.com
user026,Albert Einstein,"12 Vine Drive, Cleveland, TN 37312",559-555-0112,albert.einstein@gmail.com
user027,Blaise Pascal,"9839 Vernon Ave., Smyrna, GA 30080",404-555-0129,blaise.pascal@gmail.com
user028,Chien-Shiung Wu,"268 Orange Lane, Deerfield, IL 60015",630-555-0134,chien-shiung.wu@gmail.com
user029,Enrico Fermi,"473 Wilson St., Solon, OH 44139",567-555-0204,enrico.fermi@gmail.com
user030,Jane Goodall,"57 S. Summer St., Littleton, CO 80123",970-555-0176,jane.goodall@gmail.com
user031,Albert Einstein,"13 Vine Drive, Cleveland, TN 37312",559-555-0113,albert.einstein@gmail.com
user032,Blaise Pascal,"9840 Vernon Ave., Smyrna, GA 30080",404-555-0130,blaise.pascal@gmail.com
user033,Chien-Shiung Wu,"269 Orange Lane, Deerfield, IL 60015",630-555-0135,chien-shiung.wu@gmail.com
user034,Enrico Fermi,"474 Wilson St., Solon, OH 44139",567-555-0205,enrico.fermi@gmail.com
user035,Jane Goodall,"58 S. Summer St., Littleton, CO 80123",970-555-0177,jane.goodall@gmail.com
user036,Albert Einstein,"14 Vine Drive, Cleveland, TN 37312",559-555-0114,albert.einstein@gmail.com
user037,Blaise Pascal,"9841 Vernon Ave., Smyrna, GA 30080",404-555-0131,blaise.pascal@gmail.com
