customer_id,first_name,last_name,address,phone,email
user0000,Harper,White,"4778 888th St., Jackson, Mississippi 78684",4856028897,Harper_White@usa.com
user0001,David,Lee,"6927 310th St., Topeka, Kansas 72792",6262707127,David_Lee@gmail.com
user0002,Olivia,Gonzalez,"4804 199th St., Frankfort, Kentucky 19112",8217693868,Olivia_Gonzalez@hotmail.com
user0003,Avery,Phillips,"1145 185th Ave., Hartford, Connecticut 88623",1812194085,Avery_Phillips@usa.com
user0004,George,Johnson,"5940 24th St., Indianapolis, Indiana 67981",4863599670,George_Johnson@yahoo.com
user0005,Madison,Allen,"5098 690th Ave., Madison, Wisconsin 99925",5494820850,Madison_Allen@usa.com
user0006,Elisabeth,Edwards,"16 693rd Ave., Salem, Oregon 65762",9723540843,Elisabeth_Edwards@yahoo.com
user0007,Steven,Carter,"4003 737th Ave., Providence, Rhode Island 31799",7448889773,Steven_Carter@yahoo.com
user0008,Donald,Garcia,"4025 766th Ave., Harrisburg, Pennsylvania 36189",2259619667,Donald_Garcia@usa.com
user0009,Harper,Adams,"5079 761st St., Carson City, Nevada 67297",4683671877,Harper_Adams@hotmail.com
user0010,Charlotte,Edwards,"219 339th Ave., Salt Lake City, Utah 62285",5929076838,Charlotte_Edwards@gmail.com
user0011,Victoria,Scott,"9476 5th St., Raleigh, North Carolina 89837",2209917427,Victoria_Scott@hotmail.com
user0012,John,Clark,"3653 82nd Ave., Madison, Wisconsin 88194",4206573129,John_Clark@gmail.com
user0013,Joseph,Robinson,"7737 979th St., Trenton, New Jersey 40174",3730047809,Joseph_Robinson@gmail.com
user0014,Edward,Lee,"8064 731st Ave., Harrisburg, Pennsylvania 57165",1630789291,Edward_Lee@yahoo.com
user0015,George,Baker,"5800 779th St., Little Rock, Arkansas 65016",2348105047,George_Baker@yahoo.com
user0016,George,Thompson,"4796 787th St., Des Moines, Iowa 48821",4420077840,George_Thompson@hotmail.com
user0017,Amelia,Baker,"2679 543rd Ave., Indianapolis, Indiana 31681",2011868084,Amelia_Baker@usa.com
user0018,Ella,Johnson,"9608 839th St., Little Rock, Arkansas 69096",3874021102,Ella_Johnson@yahoo.com
user0019,Edward,Adams,"7056 322nd Ave., Atlanta, Georgia 52899",8339822501,Edward_Adams@usa.com
user0020,Ella,Turner,"5713 671st St., Honolulu, Hawaii 36571",8614691598,Ella_Turner@yahoo.com
user0021,Kenneth,Harris,"1343 932nd Ave., Des Moines, Iowa 73549",2876312095,Kenneth_Harris@usa.com
user0022,Daniel,Scott,"2969 781st St., Montpelier, Vermont 36741",2623595014,Daniel_Scott@usa.com
user0023,Madison,Jackson,"5774 786th St., Carson City, Nevada 95164",3700253764,Madison_Jackson@gmail.com
user0024,Mark,Rodriguez,"6905 219th St., Concord, New Hampshire 31557",2444884807,Mark_Rodriguez@hotmail.com
user0025,Ava,Turner,"6351 756th St., Annapolis, Maryland 95937",2372818734,Ava_Turner@hotmail.com
user0026,John,Garcia,"4123 584th St., Olympia, Washington 55054",6327790416,John_Garcia@usa.com
user0027,Christopher,Parker,"453 145th Ave., Denver, Colorado 16412",1140216051,Christopher_Parker@hotmail.com
user0028,Robert,Allen,"3205 998th St., Columbus, Ohio 23106",8122398851,Robert_Allen@gmail.com
user0029,Madison,Campbell,"9197 154th St., Albany, New York 85092",5657178325,Madison_Campbell@yahoo.com
